"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Income Management","3","0","Get Income","0"
"0","","0","Dashboard","5","0","Recent Transactions","0"
"0","","2","Expense Management","6","0","Create Expense","0"
"0","","2","Income Management","6","0","Create Income","0"
"0","","1","Authentication","6","0","User Login","0"
"0","","1","Budget Management","3","0","Get Budgets","0"
"0","","0","Health Check","6","0","Health Endpoint","0"
"0","","1","Expense Management","3","0","Get Expenses","0"
"0","","0","Dashboard","4","0","Dashboard Summary","0"
"0","","0","Expense Management","3","0","Delete Expense","0"
"0","","4","Budget Management","4","0","Create Budget","0"
"0","","3","Expense Management","0","0","Update Expense","0"
"0","","4","Authentication","5","0","User Registration","0"
"1","","2","Budget Management","0","0","Update Budget","0"
"0","","0","Income Management","3","0","Delete Income","0"
"1","","0","Budget Management","2","0","Delete Budget","0"
"0","","0","User Management","2","0","User Profile Validation","0"
"0","","0","User Management","4","0","Get Current User","0"
"0","","3","Income Management","0","0","Update Income","0"
